Page,Visitors,Total
"UA",68,75
"MD",20,31
"RO",9,9
"XK",9,9
"IT",6,6
"ES",5,6
"MK",5,5
"AL",4,4
"LT",4,4
"PT",4,4
"BG",3,3
"HU",3,6
"BA",2,2
"BY",2,2
"CY",2,2
"DE",2,2
"GR",2,2
"RS",2,2
"US",2,2
"IE",1,1
"PL",1,1
"SK",1,1
"TR",1,1
