Source,Target,Weight
Area Majority / Influence,Auction/Bidding,143
Area Majority / Influence,Dice Rolling,477
Area Majority / Influence,Hand Management,509
Area Majority / Influence,Simultaneous Action Selection,117
Area Majority / Influence,Negotiation,86
Area Majority / Influence,Economic,216
Area Majority / Influence,Political,166
Auction/Bidding,Dice Rolling,135
Auction/Bidding,Hand Management,234
Auction/Bidding,Simultaneous Action Selection,86
Auction/Bidding,Negotiation,237
Auction/Bidding,Economic,471
Auction/Bidding,Political,63
Dice Rolling,Hand Management,742
Dice Rolling,Simultaneous Action Selection,231
Dice Rolling,Negotiation,167
Dice Rolling,Economic,280
Dice Rolling,Political,157
Hand Management,Simultaneous Action Selection,395
Hand Management,Negotiation,178
Economic,Hand Management,275
Hand Management,Political,153
Negotiation,Simultaneous Action Selection,79
Economic,Simultaneous Action Selection,87
Economic,Negotiation,256
Negotiation,Political,136
Economic,Political,98
Area Majority / Influence,Hexagon Grid,55
Area Majority / Influence,Set Collection,230
Area Majority / Influence,Tile Placement,260
Area Majority / Influence,Medieval,227
Hand Management,Hexagon Grid,75
Hand Management,Set Collection,922
Hand Management,Tile Placement,305
Hand Management,Medieval,287
Hexagon Grid,Tile Placement,75
Hexagon Grid,Medieval,112
Set Collection,Tile Placement,244
Medieval,Set Collection,164
Medieval,Tile Placement,113
Action Points,Area Majority / Influence,165
Ancient,Area Majority / Influence,155
Auction/Bidding,Set Collection,386
Ancient,Auction/Bidding,65
Action Points,Set Collection,124
Ancient,Set Collection,134
Action Points,Ancient,61
Stock Holding,Tile Placement,108
Economic,Tile Placement,228
Economic,Market,50
Economic,Stock Holding,252
Civilization,Dice Rolling,120
Dice Rolling,Nautical,267
Enclosure,Tile Placement,99
Pattern Building,Tile Placement,260
Pattern Recognition,Tile Placement,61
Pattern Building,Pattern Recognition,105
Fantasy,Modular Board,459
Civilization,Modular Board,73
Hand Management,Network and Route Building,119
Hand Management,Point to Point Movement,218
Drafting,Hand Management,809
Fantasy,Hand Management,916
Hand Management,Travel,61
Network and Route Building,Point to Point Movement,51
Drafting,Network and Route Building,73
Drafting,Point to Point Movement,76
Fantasy,Point to Point Movement,119
Point to Point Movement,Travel,75
Drafting,Fantasy,401
Hand Management,Trading,168
Farming,Hand Management,56
Negotiation,Set Collection,228
Set Collection,Trading,290
Farming,Set Collection,74
Negotiation,Trading,300
Push Your Luck,Set Collection,233
Mythology,Set Collection,78
Ancient,Mythology,93
Dice Rolling,Hexagon Grid,1597
Dice Rolling,Modular Board,731
Dice Rolling,Network and Route Building,101
Dice Rolling,Trading,165
Dice Rolling,Race,98
Dice Rolling,Variable Set-up,222
Hexagon Grid,Modular Board,186
Hexagon Grid,Variable Set-up,127
Economic,Hexagon Grid,57
Modular Board,Network and Route Building,94
Modular Board,Negotiation,51
Modular Board,Trading,66
Modular Board,Race,59
Modular Board,Variable Set-up,64
Economic,Modular Board,106
Economic,Network and Route Building,212
Economic,Trading,288
Economic,Income,56
Economic,Variable Set-up,58
Set Collection,Simultaneous Action Selection,147
Roll / Spin and Move,Set Collection,280
Negotiation,Roll / Spin and Move,150
Hand Management,Variable Player Powers,908
Betting and Bluffing,Hand Management,468
Hand Management,Science Fiction,404
Negotiation,Variable Player Powers,148
Betting and Bluffing,Negotiation,161
Negotiation,Science Fiction,57
Betting and Bluffing,Variable Player Powers,284
Science Fiction,Variable Player Powers,560
Betting and Bluffing,Science Fiction,94
Dice Rolling,Push Your Luck,450
Dice Rolling,Fighting,813
Fighting,Push Your Luck,73
Modular Board,Simultaneous Action Selection,86
Action Queue,Simultaneous Action Selection,150
Grid Movement,Simultaneous Action Selection,84
Science Fiction,Simultaneous Action Selection,146
Action Queue,Modular Board,81
Grid Movement,Modular Board,382
Modular Board,Scenario / Mission / Campaign Game,85
Modular Board,Science Fiction,311
Modular Board,Racing,100
Maze,Modular Board,86
Grid Movement,Race,51
Race,Racing,62
Action Queue,Grid Movement,80
Action Queue,Science Fiction,93
Grid Movement,Scenario / Mission / Campaign Game,271
Grid Movement,Science Fiction,236
Grid Movement,Racing,56
Scenario / Mission / Campaign Game,Science Fiction,84
City Building,Tile Placement,226
Betting and Bluffing,Voting,174
Action Points,Dice Rolling,581
Dice Rolling,Science Fiction,733
Action Points,Hexagon Grid,112
Hexagon Grid,Science Fiction,215
Action Points,Science Fiction,221
Civilization,Science Fiction,56
Dice Rolling,Point to Point Movement,365
Dice Rolling,Variable Player Powers,1253
Action Queue,Dice Rolling,125
Dice Rolling,Events,255
Dice Rolling,Paper-and-Pencil,332
Dice Rolling,Player Elimination,195
Dice Rolling,Role Playing,280
Adventure,Dice Rolling,621
Dice Rolling,Fantasy,1003
Simultaneous Action Selection,Variable Player Powers,211
Paper-and-Pencil,Simultaneous Action Selection,54
Player Elimination,Simultaneous Action Selection,65
Adventure,Simultaneous Action Selection,52
Fantasy,Simultaneous Action Selection,135
Fighting,Simultaneous Action Selection,121
Modular Board,Point to Point Movement,96
Modular Board,Variable Player Powers,540
Modular Board,Player Elimination,65
Modular Board,Role Playing,154
Adventure,Modular Board,372
Fighting,Modular Board,323
Point to Point Movement,Variable Player Powers,197
Events,Point to Point Movement,58
Adventure,Point to Point Movement,83
Fighting,Point to Point Movement,108
Variable Player Powers,Variable Set-up,100
Events,Variable Set-up,69
Fantasy,Variable Set-up,66
Action Queue,Variable Player Powers,109
Events,Variable Player Powers,66
Player Elimination,Variable Player Powers,183
Role Playing,Variable Player Powers,265
Adventure,Variable Player Powers,456
