league_,season_,team_,player_,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,PlayerFBref,fbref_id,tm_id,player_id,marketValue,mv_1yr_ago,mv_6mo_ago,mv_pct_change_1yr,mv_pct_change_6mo,mv_trend_slope,mv_last_diff,mv_std,mv_min,mv_max,mv_peak_age
GER-Bundesliga,2425,Augsburg,Alexis Claude-Maurice,FRA,"MF,FW",26,1998,28,25,2109,23.4,9,2,11,9,0,0,4,0,4.7,4.7,1.2,5.9,59,61,102,0.38,0.09,0.47,0.38,0.47,0.2,0.05,0.25,0.2,0.25,Alexis Claude-Maurice,741418c3,384593.0,,12.0,12.0,12.0,0.0,0.0,0.003103267966673809,0.0,3.864183871925278,0.15,12.0,22.0
GER-Bundesliga,2425,Augsburg,Arne Engels,BEL,"MF,FW",20,2003,1,1,79,0.9,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,1,1,5,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45,Arne Engels,554bcc91,565435.0,,12.0,9.0,11.0,0.3333333333333333,0.09090909090909091,0.012927143103930444,1.0,4.669192768681875,0.35,12.0,21.0
GER-Bundesliga,2425,Augsburg,Arne Maier,GER,MF,25,1999,28,7,938,10.4,0,0,0,0,0,0,0,1,1.5,1.5,1.5,3.0,19,44,56,0.0,0.0,0.0,0.0,0.0,0.15,0.14,0.29,0.15,0.29,Arne Maier,ab700320,296397.0,,4.0,24.0,24.0,-0.8333333333333334,-0.8333333333333334,-0.0017048264828116236,0.0,6.539630468663093,0.2,24.0,20.0
GER-Bundesliga,2425,Augsburg,Chrislain Matsima,FRA,DF,22,2002,30,28,2551,28.3,1,1,2,1,0,0,4,0,1.8,1.8,0.3,2.1,14,84,13,0.04,0.04,0.07,0.04,0.07,0.06,0.01,0.07,0.06,0.07,Chrislain Matsima,cf1ef7ec,569383.0,,22.0,7.0,7.0,2.142857142857143,2.142857142857143,0.012242885705677737,5.0,5.903542850002715,0.8,22.0,23.0
GER-Bundesliga,2425,Augsburg,Dimitris Giannoulis,GRE,DF,28,1995,31,31,2650,29.4,1,4,5,1,0,0,8,0,1.1,1.1,4.2,5.3,60,104,164,0.03,0.14,0.17,0.03,0.17,0.04,0.14,0.18,0.04,0.18,Dimitris Giannoulis,112c495e,295630.0,,3.0,7.0,7.0,-0.5714285714285714,-0.5714285714285714,-0.0017434039461155055,0.20000000000000018,2.187104030095857,0.075,7.0,25.0
GER-Bundesliga,2425,Augsburg,Finn Dahmen,GER,GK,26,1998,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Finn Dahmen,dee3013b,251299.0,,9.0,5.0,5.0,0.8,0.8,0.00504146416892193,3.0,2.3550189235831596,0.075,9.0,27.0
GER-Bundesliga,2425,Augsburg,Frank Onyeka,NGA,MF,26,1998,31,30,2586,28.7,0,1,1,0,0,0,8,0,1.4,1.4,1.3,2.7,46,106,71,0.0,0.03,0.03,0.0,0.03,0.05,0.04,0.09,0.05,0.09,Frank Onyeka,2944f86f,421637.0,,7.0,10.0,10.0,-0.3,-0.3,-0.001371537444320713,0.0,3.5749162669619934,0.05,10.0,23.0
GER-Bundesliga,2425,Augsburg,Fredrik Jensen,FIN,MF,26,1997,20,9,763,8.5,0,0,0,0,0,0,0,0,0.7,0.7,0.7,1.4,16,20,58,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.16,0.08,0.16,Fredrik Jensen,3eeb80e0,249157.0,,3.5,3.5,3.5,0.0,0.0,0.001734157949150957,0.0,1.047580184245694,0.1,3.5,26.0
GER-Bundesliga,2425,Augsburg,Jeffrey Gouweleeuw,NED,DF,33,1991,33,33,2944,32.7,1,4,5,1,0,1,9,0,1.7,0.9,2.2,3.1,24,142,19,0.03,0.12,0.15,0.03,0.15,0.05,0.07,0.12,0.03,0.1,Jeffrey Gouweleeuw,1025db8e,106405.0,,1.5,12.0,12.0,-0.875,-0.875,-0.002131903348917317,0.0,3.445012758064302,0.05,12.0,27.0
GER-Bundesliga,2425,Augsburg,Keven Schlotterbeck,GER,DF,27,1997,18,15,1297,14.4,3,1,4,3,0,0,4,1,0.8,0.8,0.6,1.4,3,59,2,0.21,0.07,0.28,0.21,0.28,0.05,0.04,0.1,0.05,0.1,Keven Schlotterbeck,f6bdc830,413843.0,,6.0,7.5,7.5,-0.2,-0.2,0.003270950395746481,-1.0,2.454365887807253,0.05,7.5,23.0
