BGGId,YearPublished,GameWeight,MinPlayers,MaxPlayers,MfgPlaytime,MfgAgeRec,NumExpansions,Kickstarted,IsReimplementation,AvgRating,Mech_PC1,Mech_PC2,Mech_PC3,Mech_PC4,Mech_PC5,Mech_PC6,Mech_PC7,Mech_PC8,Mech_PC9,Mech_PC10,Theme_PC1,Theme_PC2,Theme_PC3,Theme_PC4,Theme_PC5,Theme_PC6,Theme_PC7,Theme_PC8,Theme_PC9,Theme_PC10
1,1986,4.3206,3,5,240,14,0,0,0,7.61428,-0.3868361062041888,3.35830013399636,2.0204770592053953,5.598231105681136,4.697556604596762,-1.2190282937999461,1.8965908680542378,0.03913770025056451,-2.2278418753920493,2.063532107219858,-1.7985551089924259,1.1035920846455596,0.7043015055413978,1.287367657458885,0.2842619851741485,0.8844219932325359,0.463681123337746,0.2847376007237718,0.21478847905769577,-1.0812549017047945
2,1981,1.963,3,4,30,12,0,0,1,6.64537,-0.8873268936539994,-1.0497663507478632,-0.4405677176813963,0.0891081709808206,-0.24681031649185992,-0.7626203599370005,0.25441137629543414,-0.48244422877301174,-0.310375482549906,-0.18028831602445683,0.7836088732824001,-0.0812724323975663,0.22093489236048147,0.11998584642569221,-0.5883730226141685,-0.34331018523180223,0.021181378157423485,-0.21247174063046034,-0.10417090288602826,0.46691110193875435
3,1998,2.4859,2,4,60,10,0,0,0,7.45601,0.2502759294626842,2.103125011630191,-0.6254553995075378,-1.141135154755928,0.23952695615301145,-0.8408989582398473,1.3673113172108606,-0.22147100215488497,0.10473313688347533,-0.630079717522448,0.1880883290542214,0.273358975042886,1.2128812236095405,1.2703865573323145,-2.3535370950432517,-0.6867781739520382,0.7047484743869764,-0.9341154259192191,0.13334328367345008,-1.5797524915677001
4,1992,2.6667,2,4,60,12,0,0,0,6.60006,-0.9634383118420563,0.774798320267877,-0.8369711881774097,0.8631213078271718,1.9928233474062633,0.6245497813747926,-0.4160301796920256,-0.26244604826759205,0.5274899342154414,0.16281314542223246,-0.3911901865918078,0.12057826063277183,0.4691674506177092,0.4868110519023491,-1.3553404679707275,-0.290094602394567,0.4778107916001939,-0.25482508704347495,-0.35061288501443244,-1.0980816944825735
5,1964,2.5031,2,6,90,12,2,0,0,7.33861,-0.6632245896092092,8.904814728898785,-6.833051320234976,6.760547962960515,-7.839434456744433,11.140934344970422,-3.0333723880162156,-6.334997814997084,-8.838888276894702,-2.8198370582692487,-1.1353950695370845,1.17703291979342,0.3248786737783827,0.22656951807280687,0.5051044377824455,0.14595232041324022,-0.04485300327341888,-0.3288596814102885,0.14289358591305915,-0.0770570561844533
6,1989,3.0,2,6,240,12,0,0,0,6.5537,-0.016145326371276702,-0.8780482479845817,-0.42333846332823444,-0.21650340434698645,-0.0016932820383125551,0.00301552846263696,-0.3037818157762458,0.21745848352054925,-0.053927472234599205,0.48497641883064846,-1.3809131747959682,0.7719916763145447,1.156123372378174,1.3909566478791902,-0.919597077258043,-1.3922919567887928,0.20073298212663235,1.0175899841171547,0.1799456033173028,-0.7346608789626138
7,1978,1.795,2,2,20,8,0,0,0,6.52083,-1.404695890687576,-0.7513003757379185,-1.8853653413166278,-1.1197573983001674,-2.5946727726076135,0.9382566332322644,2.486945295884837,-1.677700823515472,1.3544811898964217,0.29038714678621336,-0.22647936633848081,-0.217696074701717,-0.2900415659321786,-0.2129054153346556,-0.09919753629773696,-0.09413553782766394,-0.06927459264970533,-0.25949915259721623,-0.12110210553240733,-0.14677680348232716
8,1993,2.4,2,5,120,12,0,0,0,6.10716,-0.39353579465292776,-0.4301380614428669,-0.27363972426517597,-0.5776931791533593,0.17645295494041652,0.6800438495409123,-0.023811995153962966,-0.35385591846496217,0.6327034096415847,0.07226034224819206,0.32375407605225,1.023277191070446,1.3950603114880795,0.9673912373875925,-1.3809078374767518,-0.39435077586395517,0.8766959823428944,0.871738443872869,-0.7856680671915982,-1.0390579708275363
9,1998,3.1824,2,4,90,13,0,0,0,6.45265,-0.7895372048873401,-0.035868835628384686,-1.0302909282145882,-0.2789965328061136,0.10671332121140163,0.48320170632320447,0.07496735575328141,-1.4838443513064226,0.6245490145174956,0.629877066299178,-0.22647936633848081,-0.217696074701717,-0.2900415659321786,-0.2129054153346556,-0.09919753629773696,-0.09413553782766394,-0.06927459264970533,-0.25949915259721623,-0.12110210553240733,-0.14677680348232716
10,1998,2.1578,2,6,60,10,6,0,1,6.69695,-1.0321036283556722,0.9216073037587426,-1.277734151391473,0.00739196860053748,0.3402047431765756,0.9743807338915805,-0.6088840434138456,-1.4552120114739813,-0.23667378724055566,-0.2951406867764812,0.5527243582212791,0.6852470720810487,0.34926062974208155,0.22527354824052612,-0.3271210138879758,-0.7595092985594762,-0.653492354313602,-0.7146497068604444,0.4775812478241827,1.388316186962711
