Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Budapest 01. kerület;;;1212;313;;;1212;313;34
Budapest 02. kerület;1253;47;1201;919;;;1204;966;36
Budapest 03. kerület;965;55;1064;540;771;825;890;1420;30
Budapest 04. kerület;675;43;790;487;715;612;745;1142;26
Budapest 05. kerület;;;1267;444;;;1267;444;32
Budapest 06. kerület;;;994;897;;;994;897;29
Budapest 07. kerület;;;940;1258;;;940;1258;26
Budapest 08. kerület;;;848;1296;757;75;842;1372;32
Budapest 09. kerület;749;3;942;898;780;61;931;962;29
Budapest 10. kerület;665;24;748;561;692;344;725;929;24
Budapest 11. kerület;1113;19;1091;1209;888;526;1031;1754;28
Budapest 12. kerület;1737;9;1120;642;;;1129;653;31
Budapest 13. kerület;1103;8;1014;1637;823;296;985;1941;27
Budapest 14. kerület;867;51;885;1363;748;416;853;1830;24
Budapest 15. kerület;618;92;714;195;715;479;703;766;23
Budapest 16. kerület;800;132;842;290;691;23;822;445;27
Budapest 17. kerület;633;192;835;161;717;175;722;528;31
Budapest 18. kerület;656;66;779;342;648;222;720;630;26
Budapest 19. kerület;686;21;795;250;673;290;728;561;25
Budapest 20. kerület;553;37;660;408;624;96;647;541;28
Budapest 21. kerület;624;26;643;282;626;343;633;651;20
Budapest 22. kerület;825;17;831;192;749;63;812;272;28
Budapest 23. kerület;326;18;590;52;641;19;547;89;45
Budapest összesen;753;861;955;14636;739;4867;894;20364;34
