url,title,price,area_m2,floor,rooms,location,Típus,Szintek száma,Állapot,Fűtés,Energetikai besorolás,scrape_date,Napelem,Építés éve,Átlagos rezsiköltség,Erkély,,Terasz
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-xiii-kerulet-ujlipotvaros/8611233?page=1&pos=4&cr=76,Budapest XIII. kerület kiadó téglalakás 1 szobás: 185 ezer Ft,185.0,33.0,33 m²,1.0,"Budapest XIII. kerület, Újlipótváros, Kárpát utca",Téglalakás,3,Jó állapotú,Gáz (konvektor),Nem adta meg a hirdető,2025-10-02,,,,,,
https://www.zenga.hu/ingatlan/kiado-tarsashazi-lakas-budapest-iv-kerulet/8612889?page=1&pos=5&cr=51,Budapest IV. kerület kiadó társasházi lakás 2 szobás: 200 ezer Ft,200.0,56.0,56 m²,2.0,"Budapest IV. kerület, Bródy utca",Társasházi lakás,,Újszerű,Gáz (konvektor),Nem adta meg a hirdető,2025-10-02,Nincs,,,,,
https://www.zenga.hu/ingatlan/kiado-egyeb-lakas-budapest-x-kerulet/8704755?page=1&pos=6&cr=30,Budapest X. kerület kiadó egyéb lakás 1 szobás: 180 ezer Ft,180.0,34.0,34 m²,1.0,Budapest X. kerület,Egyéb lakás,,Átlagos,,Nem adta meg a hirdető,2025-10-02,,1980,,,,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-vii-kerulet-ligetvaros/8682747?page=1&pos=7&cr=20,Budapest VII. kerület kiadó téglalakás 2 szobás: 160 ezer Ft,160.0,34.0,34 m²,2.0,"Budapest VII. kerület, Ligetváros",Téglalakás,4,Átlagos,Gáz (konvektor),Nem adta meg a hirdető,2025-10-02,Nincs,1920,30 000 Ft/hó,,,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-xiii-kerulet-angyalfold/8684613?page=1&pos=8&cr=18,Budapest XIII. kerület kiadó téglalakás 1+1 fél szobás: 190 ezer Ft,190.0,40.0,40 m²,1.0,"Budapest XIII. kerület, Angyalföld, Faludi utca",Téglalakás,,Felújított,,Nem adta meg a hirdető,2025-10-02,,,,,,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-vi-kerulet-diplomatanegyed/8715692?page=1&pos=1&cr=110,Budapest VI. kerület kiadó téglalakás 1 szobás: 200 ezer Ft,200.0,38.0,38 m²,1.0,"Budapest VI. kerület, Diplomatanegyed",Téglalakás,3,Felújított,Elektromos,,2025-10-02,,,,,,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-ix-kerulet-rehabilitacios-terulet-ix-/8724080?page=1&pos=9&cr=11,Budapest IX. kerület kiadó téglalakás 1+1 fél szobás: 180 ezer Ft,180.0,37.0,37 m²,1.0,"Budapest IX. kerület, Rehabilitációs terület IX. ker.",Téglalakás,5,Újszerű,Házközponti fűtés egyedi méréssel,Nem adta meg a hirdető,2025-10-02,,2012,,,,
https://www.zenga.hu/ingatlan/kiado-panellakas-budapest-xix-kerulet/8726453?page=1&pos=3&cr=100,Budapest XIX. kerület kiadó panellakás 1+1 fél szobás: 200 ezer Ft,200.0,37.0,37 m²,1.0,"Budapest XIX. kerület, Csokonai utca 16.",Panellakás,10,,,,2025-10-02,,,,,,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-vii-kerulet/8630364?page=1&pos=10&cr=10,Budapest VII. kerület kiadó téglalakás 2 szobás,1.0,80.0,80 m²,2.0,Budapest VII. kerület,Téglalakás,4,Felújított,,Nem adta meg a hirdető,2025-10-02,Nincs,,,4 m²,,
https://www.zenga.hu/ingatlan/kiado-teglalakas-budapest-v-kerulet/8688754?page=1&pos=15,Budapest V. kerület kiadó téglalakás 2 szobás: 1 ezer Ft,1.0,55.0,55 m²,2.0,Budapest V. kerület,Téglalakás,4,Felújított,,Nem adta meg a hirdető,2025-10-02,Nincs,,,,,
