timestamp,url,home_team,away_team,home_xg,away_xg,home_Match overview,away_Match overview,home_Ball possession,away_Ball possession,home_Corner kicks,away_Corner kicks,home_Fouls,away_Fouls,home_Free kicks,away_Free kicks,home_Yellow cards,away_Yellow cards,home_Red cards,away_Red cards,home_Shots,away_Shots,home_Shots on target,away_Shots on target,home_Hit woodwork,away_Hit woodwork,home_Shots off target,away_Shots off target,home_Blocked shots,away_Blocked shots,home_Attack,away_Attack,home_Offsides,away_Offsides,home_Passes,away_Passes,home_Throw-ins,away_Throw-ins,home_Corner,away_Corner,home_Yellow,away_Yellow,home_Red,away_Red,home_Pass,away_Pass,home_possession,away_possession,home_shots,away_shots,home_Football,away_Football,home_BasketballBaseball,away_BasketballBaseball,home_VolleyballMoreDarts,away_VolleyballMoreDarts,home_MotorsportCricket,away_MotorsportCricket,home_Köln,away_Köln,home_65:54,away_65:54,home_Full-time,away_Full-time,home_Lineups,away_Lineups,home_Goal,away_Goal,home_LeicesterLuca Waldschmidt ,away_LeicesterLuca Waldschmidt ,home_X,away_X,home_HTFT,away_HTFT,home_kVoting endedView Weekly ChallengeDate and time,away_kVoting endedView Weekly ChallengeDate and time,home_HWin ProbabilityShow me the numbersWatch an ad and reveal Win Probability estimatesMatch overview,away_HWin ProbabilityShow me the numbersWatch an ad and reveal Win Probability estimatesMatch overview,home_About the match,away_About the match,home_Jul ,away_Jul ,home_nd half ,away_nd half ,home_66:54,away_66:54
2025-07-25T18:23:52.283253,"https://www.sofascore.com/football/match/1-fc-koln-leicester-city/Gswdb#id:14250691,tab:statistics","1. FC KölnvsLeicester Citylive score, H2H results, standings and prediction",Lineups,N/A,N/A,48%,0,48%,N/A,2,3,9,6,6,9,0,2,0,0,1,N/A,2,3,0,0,1,2,1,1,1,N/A,2,0,0,N/A,16,7,2,N/A,0,N/A,0,N/A,0,N/A,52,N/A,1,N/A,2,.,7,N/A,1,N/A,13,N/A,2,1,2,1,1,44%,48%,.,1,N/A,54,N/A,43%,N/A,00,N/A,8.8,N/A,2,N/A,7,N/A,25,N/A,2,N/A,,
2025-07-25T18:24:52.697443,"https://www.sofascore.com/football/match/1-fc-koln-leicester-city/Gswdb#id:14250691,tab:statistics","1. FC KölnvsLeicester Citylive score, H2H results, standings and prediction",Lineups,N/A,N/A,49%,0,49%,N/A,2,3,9,6,6,9,0,2,0,0,1,N/A,2,3,0,0,1,2,1,1,1,N/A,2,0,0,N/A,16,7,2,N/A,0,N/A,0,N/A,0,N/A,51,N/A,1,N/A,2,.,7,N/A,1,N/A,12,N/A,2,1,,,1,44%,49%,.,1,N/A,54,N/A,43%,N/A,00,N/A,8.8,N/A,2,N/A,7,N/A,25,N/A,2,N/A,2,1
2025-07-25T18:24:53.347017,"https://www.sofascore.com/football/match/1-fc-koln-leicester-city/Gswdb#id:14250691,tab:statistics","1. FC KölnvsLeicester Citylive score, H2H results, standings and prediction",Lineups,N/A,N/A,49%,0,49%,N/A,2,3,9,6,6,9,0,2,0,0,1,N/A,2,3,0,0,1,2,1,1,1,N/A,2,0,0,N/A,16,7,2,N/A,0,N/A,0,N/A,0,N/A,51,N/A,1,N/A,2,.,7,N/A,1,N/A,12,N/A,2,1,,,1,44%,49%,.,1,N/A,54,N/A,43%,N/A,00,N/A,8.8,N/A,2,N/A,7,N/A,25,N/A,2,N/A,2,1
