Datum;Kampany;Hirdetes_Sorozat;Kreativ_Nev;Hirdetes_ID;Koltes_HUF;Megjelenes;Eleres;Gyakorisag;Osszes_Kattintas;Link_Kattintas;CTR_Szazalek;CPC_HUF;CPM_HUF;Vasarlas_DB;Bevetel_HUF;CPA_HUF;ROAS
2026-08-22;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.04 - Kivel csinálnád?;120253142075650274;14;2;2;1.0;0;0;0.0;0;7000;0;0;0;0.0
2026-08-22;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.03 - Hűtsd le magad;120253142075670274;18;8;8;1.0;0;0;0.0;0;2250;0;0;0;0.0
2026-08-22;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;55;30;28;1.07;0;0;0.0;0;1833;0;0;0;0.0
2026-08-22;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;70;66;57;1.16;6;2;9.09;12;1061;0;0;0;0.0
2026-08-22;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.05 - Menj ki!;120253142075660274;87;18;17;1.06;2;1;11.11;44;4833;0;0;0;0.0
2026-08-22;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;180;154;129;1.19;9;5;5.84;20;1169;0;0;0;0.0
2026-08-22;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;1099;232;205;1.13;12;7;5.17;92;4737;0;0;0;0.0
2026-08-21;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.04 - Kivel csinálnád?;120253142075650274;22;16;6;2.67;0;0;0.0;0;1375;0;0;0;0.0
2026-08-21;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.03 - Hűtsd le magad;120253142075670274;23;13;12;1.08;1;0;7.69;23;1769;0;0;0;0.0
2026-08-21;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;74;38;26;1.46;1;0;2.63;74;1947;0;0;0;0.0
2026-08-21;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;89;80;62;1.29;4;2;5.0;22;1112;0;0;0;0.0
2026-08-21;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.05 - Menj ki!;120253142075660274;93;24;24;1.0;1;0;4.17;93;3875;0;0;0;0.0
2026-08-21;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;239;204;156;1.31;3;1;1.47;80;1172;0;0;0;0.0
2026-08-21;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;913;348;264;1.32;11;8;3.16;83;2624;0;0;0;0.0
2026-08-20;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.03 - Hűtsd le magad;120253142075670274;34;29;21;1.38;1;0;3.45;34;1172;0;0;0;0.0
2026-08-20;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;89;66;58;1.14;5;1;7.58;18;1348;0;0;0;0.0
2026-08-20;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.04 - Kivel csinálnád?;120253142075650274;101;21;9;2.33;1;1;4.76;101;4810;0;0;0;0.0
2026-08-20;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;115;69;62;1.11;2;1;2.9;58;1667;0;0;0;0.0
2026-08-20;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.05 - Menj ki!;120253142075660274;189;95;84;1.13;6;2;6.32;32;1989;0;0;0;0.0
2026-08-20;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;387;355;261;1.36;17;7;4.79;23;1090;0;0;0;0.0
2026-08-20;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;1740;712;550;1.29;46;20;6.46;38;2444;0;0;0;0.0
2026-08-19;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.04 - Kivel csinálnád?;120253142075650274;30;14;7;2.0;1;0;7.14;30;2143;0;0;0;0.0
2026-08-19;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;78;79;62;1.27;4;1;5.06;20;987;0;0;0;0.0
2026-08-19;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;117;81;64;1.27;0;0;0.0;0;1444;0;0;0;0.0
2026-08-19;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.05 - Menj ki!;120253142075660274;132;62;58;1.07;2;0;3.23;66;2129;0;0;0;0.0
2026-08-19;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.03 - Hűtsd le magad;120253142075670274;191;45;24;1.88;2;1;4.44;96;4244;0;0;0;0.0
2026-08-19;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;354;391;299;1.31;9;6;2.3;39;905;0;0;0;0.0
2026-08-19;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;1157;548;386;1.42;17;8;3.1;68;2111;0;0;0;0.0
2026-08-18;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.04 - Kivel csinálnád?;120253142075650274;11;3;3;1.0;0;0;0.0;0;3667;0;0;0;0.0
2026-08-18;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.03 - Hűtsd le magad;120253142075670274;59;36;22;1.64;3;1;8.33;20;1639;0;0;0;0.0
2026-08-18;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;132;100;79;1.27;5;1;5.0;26;1320;0;0;0;0.0
2026-08-18;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.05 - Menj ki!;120253142075660274;182;56;47;1.19;3;2;5.36;61;3250;0;0;0;0.0
2026-08-18;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;312;95;71;1.34;7;1;7.37;45;3284;0;0;0;0.0
2026-08-18;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;474;613;497;1.23;34;17;5.55;14;773;0;0;0;0.0
2026-08-18;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;1855;776;601;1.29;36;14;4.64;52;2390;0;0;0;0.0
2026-08-17;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.04 - Kivel csinálnád?;120253142075650274;23;5;5;1.0;1;0;20.0;23;4600;0;0;0;0.0
2026-08-17;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;120;97;80;1.21;3;0;3.09;40;1237;0;0;0;0.0
2026-08-17;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.03 - Hűtsd le magad;120253142075670274;123;33;23;1.43;2;1;6.06;62;3727;0;0;0;0.0
2026-08-17;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;190;76;54;1.41;5;2;6.58;38;2500;0;0;0;0.0
2026-08-17;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.05 - Menj ki!;120253142075660274;281;83;74;1.12;4;1;4.82;70;3386;0;0;0;0.0
2026-08-17;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;428;390;316;1.23;18;8;4.62;24;1097;0;0;0;0.0
2026-08-17;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;1783;680;500;1.36;30;12;4.41;59;2622;1;7990;1783;4.48
2026-08-16;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.04 - Kivel csinálnád?;120253142075650274;21;11;8;1.38;0;0;0.0;0;1909;0;0;0;0.0
2026-08-16;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.03 - Hűtsd le magad;120253142075670274;122;77;51;1.51;3;1;3.9;41;1584;0;0;0;0.0
2026-08-16;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;125;129;102;1.26;7;2;5.43;18;969;0;0;0;0.0
2026-08-16;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;264;102;87;1.17;7;3;6.86;38;2588;0;0;0;0.0
2026-08-16;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;550;395;292;1.35;25;12;6.33;22;1392;0;0;0;0.0
2026-08-16;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.05 - Menj ki!;120253142075660274;557;190;152;1.25;8;3;4.21;70;2932;0;0;0;0.0
2026-08-16;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;1277;581;449;1.29;27;14;4.65;47;2198;1;15181;1277;11.89
2026-08-15;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;121;65;53;1.23;0;0;0.0;0;1862;0;0;0;0.0
2026-08-15;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;209;196;158;1.24;11;3;5.61;19;1066;0;0;0;0.0
2026-08-15;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;224;219;155;1.41;10;5;4.57;22;1023;0;0;0;0.0
2026-08-15;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;354;159;124;1.28;10;4;6.29;35;2226;0;0;0;0.0
2026-08-15;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.04 - Kivel csinálnád?;120253142075650274;467;150;106;1.42;5;3;3.33;93;3113;0;0;0;0.0
2026-08-15;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.03 - Hűtsd le magad;120253142075670274;493;163;134;1.22;5;2;3.07;99;3025;0;0;0;0.0
2026-08-15;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.05 - Menj ki!;120253142075660274;507;207;169;1.22;7;2;3.38;72;2449;0;0;0;0.0
2026-08-14;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;68;51;32;1.59;0;0;0.0;0;1333;0;0;0;0.0
2026-08-14;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;103;73;48;1.52;3;1;4.11;34;1411;0;0;0;0.0
2026-08-14;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;232;227;163;1.39;2;1;0.88;116;1022;0;0;0;0.0
2026-08-14;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;249;169;113;1.5;14;6;8.28;18;1473;0;0;0;0.0
2026-08-14;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.03 - Hűtsd le magad;120253142075670274;497;203;164;1.24;2;0;0.99;248;2448;0;0;0;0.0
2026-08-14;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.05 - Menj ki!;120253142075660274;498;235;167;1.41;11;4;4.68;45;2119;0;0;0;0.0
2026-08-14;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.04 - Kivel csinálnád?;120253142075650274;506;296;171;1.73;4;2;1.35;126;1709;0;0;0;0.0
2026-08-13;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;156;128;92;1.39;6;3;4.69;26;1219;0;0;0;0.0
2026-08-13;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;290;220;160;1.38;4;0;1.82;72;1318;0;0;0;0.0
2026-08-13;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;296;152;120;1.27;7;5;4.61;42;1947;0;0;0;0.0
2026-08-13;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.03 - Hűtsd le magad;120253142075670274;483;176;114;1.54;5;2;2.84;97;2744;0;0;0;0.0
2026-08-13;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.04 - Kivel csinálnád?;120253142075650274;490;147;109;1.35;5;2;3.4;98;3333;0;0;0;0.0
2026-08-13;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.05 - Menj ki!;120253142075660274;516;177;140;1.26;11;4;6.21;47;2915;0;0;0;0.0
2026-08-13;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;560;258;182;1.42;11;5;4.26;51;2171;1;7990;560;14.27
2026-08-12;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.05 - Menj ki!;120253142075660274;151;62;54;1.15;3;2;4.84;50;2435;0;0;0;0.0
