number,coefficient
60,0.07030885943989976
61,0.06991639466906724
85,0.06069706911729153
46,0.06010496481467783
87,0.05931322707441173
80,0.04548547791359758
90,0.044732411155224326
88,0.04386917804668928
40,0.04060140760712345
65,0.03959595733285413
62,0.03670426366654185
89,0.03619470193468357
30,0.03566204115453258
74,0.035540970842440865
78,0.034668144082700095
83,0.03440170298923421
81,0.03401127730859356
76,0.03375620705818794
59,0.03350687933460453
86,0.032696014658744624
70,0.03127616824000326
84,0.029386563100587113
82,0.026640032033400242
58,0.026544706842734172
39,0.025103263727760394
50,0.022885640020808264
79,0.022859708583832718
41,0.021283769438361202
31,0.020452880178810313
71,0.01630430492134055
26,0.015549620483956944
77,0.015076240997709645
75,0.01414188515650239
43,0.012229613363366485
51,0.010995387720958004
32,0.00882557726151659
44,0.008742370581568081
69,0.0080229779811253
36,0.005369346888942819
35,0.0033950279711847525
38,0.0025116773097732144
66,0.0023147638989418316
1,0.001592898557751356
45,0.00027273651868932325
20,0.00011883432833123715
47,-0.00034160566977090717
67,-0.0006890201542776447
55,-0.0026539061666139008
68,-0.003845609192040817
56,-0.00403991080653543
73,-0.004387742180698494
16,-0.005846737716818935
34,-0.0073250696738805104
64,-0.0074966003445367975
63,-0.007706446224248705
53,-0.007920229741298732
72,-0.009220648600853946
14,-0.010656564190101095
42,-0.010970968314757544
37,-0.011324597980104958
29,-0.012304942960287793
48,-0.01237191616362144
28,-0.013323268017051512
52,-0.014731769647446814
54,-0.015785221171304323
57,-0.01630051137832254
49,-0.01673187196607892
15,-0.01697572519915265
2,-0.02350520114789052
22,-0.02454776423929516
18,-0.02470804413197387
25,-0.027642080697092418
10,-0.034668531261881866
6,-0.035100185892370225
23,-0.036108473231767024
24,-0.036116423538012685
17,-0.03713442287972884
33,-0.037635538663499904
27,-0.03850203484741961
8,-0.03960714574308761
11,-0.04011878563686015
12,-0.04171587160720894
4,-0.05671397124608889
21,-0.05914446595172432
9,-0.0609361356749504
5,-0.060976562782837265
7,-0.07352160431875059
13,-0.07487011909638229
3,-0.07505797314499663
19,-0.08238092711543399
